,StartQuarter,ChannelLength,Stop Percent
0,2000-01-01,500,0.078
1,2000-04-01,9100,0.076
2,2000-07-01,1600,0.078
3,2000-10-01,500,0.076
4,2001-01-01,5200,0.097
5,2001-04-01,4000,0.088
6,2001-07-01,9000,0.088
7,2001-10-01,8900,0.088
8,2002-01-01,9100,0.088
9,2002-04-01,8800,0.088
10,2002-07-01,9100,0.088
11,2002-10-01,1600,0.099
12,2003-01-01,1100,0.099
13,2003-04-01,9600,0.052
14,2003-07-01,9500,0.052
15,2003-10-01,10000,0.052
16,2004-01-01,9600,0.052
17,2004-04-01,5400,0.08
18,2004-07-01,7600,0.08
19,2004-10-01,7900,0.08
20,2005-01-01,9700,0.08
21,2005-04-01,7000,0.08
22,2005-07-01,7700,0.053
23,2005-10-01,9400,0.076
24,2006-01-01,5700,0.076
25,2006-04-01,5500,0.078
26,2006-07-01,5500,0.078
27,2006-10-01,5700,0.019
28,2007-01-01,9900,0.017
29,2007-04-01,6000,0.019
30,2007-07-01,1800,0.079
31,2007-10-01,4100,0.079
32,2008-01-01,4100,0.079
33,2008-04-01,2800,0.094
34,2008-07-01,5700,0.099
35,2008-10-01,1900,0.1
36,2009-01-01,3600,0.1
37,2009-04-01,3200,0.1
38,2009-07-01,3000,0.1
39,2009-10-01,1900,0.1
40,2010-01-01,3600,0.1
41,2010-04-01,1400,0.036
42,2010-07-01,1300,0.034
43,2010-10-01,1400,0.032
44,2011-01-01,1300,0.033
45,2011-04-01,1300,0.032
46,2011-07-01,900,0.034
47,2011-10-01,900,0.034
48,2012-01-01,8500,0.01
49,2012-04-01,8600,0.01
50,2012-07-01,9100,0.008
51,2012-10-01,9900,0.041
52,2013-01-01,9300,0.016
53,2013-04-01,4300,0.025
54,2013-07-01,9000,0.008
55,2013-10-01,4100,0.022
56,2014-01-01,4000,0.01
57,2014-04-01,4400,0.01
58,2014-07-01,3800,0.011
59,2014-10-01,4000,0.01
60,2015-01-01,9300,0.028
61,2015-04-01,9200,0.028
62,2015-07-01,8900,0.028
63,2015-10-01,9700,0.058
64,2016-01-01,9100,0.057
65,2016-04-01,9200,0.033
66,2016-07-01,8900,0.057
67,2016-10-01,7600,0.059
68,2017-01-01,7700,0.057
69,2017-04-01,7400,0.057
70,2017-07-01,2200,0.056
71,2017-10-01,2200,0.052
72,2018-01-01,6700,0.057
73,2018-04-01,7300,0.057
74,2018-07-01,6900,0.057
75,2018-10-01,700,0.08
76,2019-01-01,7400,0.054
77,2019-04-01,7700,0.055
78,2019-07-01,500,0.053
79,2019-10-01,700,0.057
