,StartQuarter,ChannelLength,Stop Percent
0,2000-01-01,600,0.076
1,2000-04-01,2900,0.077
2,2000-07-01,9600,0.091
3,2000-10-01,5300,0.086
4,2001-01-01,7800,0.097
5,2001-04-01,9000,0.088
6,2001-07-01,3000,0.099
7,2001-10-01,1400,0.099
8,2002-01-01,1100,0.099
9,2002-04-01,1300,0.099
10,2002-07-01,8900,0.052
11,2002-10-01,9200,0.052
12,2003-01-01,7600,0.089
13,2003-04-01,5600,0.08
14,2003-07-01,7600,0.08
15,2003-10-01,8900,0.052
16,2004-01-01,8500,0.088
17,2004-04-01,9700,0.052
18,2004-07-01,7600,0.076
19,2004-10-01,8200,0.09
20,2005-01-01,6200,0.076
21,2005-04-01,8200,0.076
22,2005-07-01,5500,0.076
23,2005-10-01,5700,0.076
24,2006-01-01,10000,0.01
25,2006-04-01,6000,0.011
26,2006-07-01,10000,0.013
27,2006-10-01,8900,0.016
28,2007-01-01,1700,0.079
29,2007-04-01,1600,0.079
30,2007-07-01,2900,0.079
31,2007-10-01,9000,0.081
32,2008-01-01,6400,0.079
33,2008-04-01,5300,0.095
34,2008-07-01,3000,0.1
35,2008-10-01,1700,0.1
36,2009-01-01,3600,0.1
37,2009-04-01,1600,0.1
38,2009-07-01,1800,0.1
39,2009-10-01,3300,0.1
40,2010-01-01,1800,0.035
41,2010-04-01,6000,0.032
42,2010-07-01,900,0.034
43,2010-10-01,800,0.034
44,2011-01-01,1200,0.018
45,2011-04-01,1200,0.02
46,2011-07-01,9900,0.057
47,2011-10-01,10000,0.043
48,2012-01-01,9200,0.041
49,2012-04-01,9200,0.02
50,2012-07-01,9500,0.02
51,2012-10-01,500,0.048
52,2013-01-01,700,0.052
53,2013-04-01,4300,0.019
54,2013-07-01,3700,0.01
55,2013-10-01,3500,0.01
56,2014-01-01,4000,0.01
57,2014-04-01,800,0.011
58,2014-07-01,8100,0.011
59,2014-10-01,9200,0.032
60,2015-01-01,9100,0.073
61,2015-04-01,9000,0.064
62,2015-07-01,8900,0.064
63,2015-10-01,7900,0.059
64,2016-01-01,5500,0.057
65,2016-04-01,5500,0.057
66,2016-07-01,3800,0.057
67,2016-10-01,2500,0.059
68,2017-01-01,6700,0.057
69,2017-04-01,9900,0.065
70,2017-07-01,600,0.046
71,2017-10-01,2300,0.058
72,2018-01-01,7700,0.055
73,2018-04-01,6500,0.053
74,2018-07-01,6400,0.053
75,2018-10-01,6700,0.053
76,2019-01-01,8100,0.053
77,2019-04-01,5600,0.053
78,2019-07-01,2000,0.054
79,2019-10-01,2700,0.022
