,StartQuarter,ChannelLength,Stop Percent
0,2012-01-01,5700,0.052
1,2012-04-01,6200,0.052
2,2012-07-01,6000,0.052
3,2012-10-01,2100,0.054
4,2013-01-01,5100,0.052
5,2013-04-01,2200,0.053
6,2013-07-01,2200,0.052
7,2013-10-01,2200,0.052
8,2014-01-01,2200,0.052
9,2014-04-01,2100,0.052
10,2014-07-01,2800,0.073
11,2014-10-01,2800,0.052
12,2015-01-01,2100,0.07
13,2015-04-01,500,0.092
14,2015-07-01,8500,0.059
15,2015-10-01,9900,0.061
16,2016-01-01,8400,0.066
17,2016-04-01,7800,0.068
18,2016-07-01,9200,0.06
19,2016-10-01,9600,0.054
20,2017-01-01,9300,0.052
21,2017-04-01,8400,0.054
22,2017-07-01,4000,0.055
23,2017-10-01,1200,0.032
24,2018-01-01,9200,0.032
25,2018-04-01,500,0.032
26,2018-07-01,9800,0.024
27,2018-10-01,9200,0.024
28,2019-01-01,8000,0.051
29,2019-04-01,7900,0.052
30,2019-07-01,5800,0.045
31,2019-10-01,1200,0.052
